X1,X2,X3,X4,Y
2.53,285,62.75,1394.46,1187
2.85,280,37.875,1366.42,1149.1
2.27,266,44,1498.58,1268.3
2.43,280,59.25,1420.6,1124.9
2.46,281,23.938,1454.6,1194.5
2.25,298,18.188,1430.83,1225.5
2.28,312,18,1517.68,1244.6
2.31,301,25,1429.4,1456.3
2.56,356,20.5,1314.95,1646.1
2.61,362,-55.875,1366.01,1636
2.62,386,-43.75,1239.94,1458
2.49,406,-46.375,1249.46,1429.3
2.4,405,-22,1255.82,1506.2
2.35,388,-10,1211.23,1679.5
2.33,402,-18.75,1133.58,1842.6
2.59,483,-29,1059.78,2161.8
2.75,465,-5.812,1139.45,1779.5
2.7,421,6.125,1148.08,1689.3
2.93,414,15,1130.2,1755.6
2.87,398,16,1106.73,1817.1
3.25,414,17,1076.92,1456.6
3,378,14.625,1067.14,1519.8
3.41,390,9.375,911.62,1886.4
3.38,409,4,815.28,1888.6
3.36,409,-6.375,885.76,1791.5
3.27,409,14,879.82,1564.7
3.53,413,11,855.7,1362.5
3.79,436,8,841.15,1361.3
3.75,436,2.875,848.18,1186.2
3.7,444,5,916.92,957.8
3.79,429,-10.375,974.5,882.6
3.81,398,10.438,990.31,873.6
3.96,387,15,995.97,834.6
4.15,363,15.938,1050.71,721.6
4.34,340,11,1126.21,702.4
4.4,324,18,1107.3,628
4.32,337,31.5,1120.68,680.5
4.39,348,58,1140.84,642.2
4.75,352,37,1104.24,681.8
4.78,351,41,1114.58,618.8
4.91,335,48,1173.82,498.6
4.66,356,40.438,1211.92,474.3
4.58,331,47,1181.27,492.5
4.6,314,42,1203.6,434.7
4.6,342,49,1180.59,517.3
4.64,340,33.75,1191.5,643.8
4.89,311,47.625,1191.33,573.2
4.73,318,37,1220.33,615.8
4.79,384,44.5,1228.81,632.8
4.74,322,48,1207.01,631.2
4.83,311,42,1249.48,641.4
4.95,282,39,1280.08,549.3
4.88,293,33.25,1280.66,525.6
4.78,291,41,1294.83,491.8
4.59,330,29.813,1270.09,457.7
4.64,316,49.063,1270.2,490.9
4.52,311,22.563,1276.66,537.1
4.45,314,14.75,1303.82,546.1
4.39,328,12.063,1377.94,510
4.48,349,12,1400.63,502
4.4,308,11,1438.24,414.9
4.33,322,8.813,1406.82,414.7
4.26,301,10.5,1482.37,401
4.31,310,11,1530.62,369.4
4.31,305,9.866,1455.27,604.5
4.3,314,60.125,1473.99,645.9
4.55,328,13.375,1549.38,617.3
4.59,344,64.125,1481.14,765.5
4.7,360,46.25,1468.36,800.8
4.49,366,-82.812,1378.55,959.8
4.68,345,7.75,1330.63,1057.3
4.68,387,7.813,1322.7,1087.3
4.63,370,57,1385.59,963.8
4.75,392,78.313,1280,994.5
4.78,434,78.125,1267.38,1078.8
4.74,483,224.25,1166.36,1464
4.96,490,205.625,968.75,2112.1
4.81,533,126.5,903.25,2680.2
4.44,665,101.188,797.87,2262.3
0.7,620,86.625,872.81,1799.9
0.6,594,38.5,919.32,1201.2
0.59,555,31.938,987.48,1119.9
0.58,564,18.75,1020.62,1088.9
0.6,554,13.688,1057.08,930.3
0.59,475,13.656,1095.63,953.2
0.61,468,13.063,1115.1,848.4
0.6,459,13.15,1169.43,811.6
0.6,451,14.656,1186.69,757.3
0.61,458,33.625,1089.41,932.9
0.61,464,35.394,1030.71,971.2
0.88,467,10.563,1049.33,992.4
0.91,459,10,1141.2,934.6
1.05,432,11.031,1180.55,884.7
0.97,413,12.281,1257.64,766.4
0.9,420,13.438,1286.12,712.6
0.98,385,14.95,1327.22,679.6
1.06,399,16.3,1325.83,689
1.04,418,16.288,1345.2,728.7
1.2,421,15.575,1320.64,762.1
1.24,409,22.722,1218.89,1057.3
1.24,405,29.433,1131.42,1171.8
1.17,399,35.944,1253.3,957.4
1.19,397,44.889,1246.96,1090.1
0.98,372,46.235,1312.41,951.1
0.96,365,38.425,1365.68,859.4
0.94,372,32.585,1397.91,876.7
0.96,381,30.685,1310.33,1015.2
0.9,372,28.26,1379.32,953.8
0.89,371,28.825,1406.58,906.1
0.83,364,15.275,1412.16,847.2
0.83,375,15.05,1416.18,842.4
0.87,362,14.6,1426.19,781.2
0.86,364,15.8,1498.11,720.9
0.84,338,13.71,1514.68,699.3
0.83,330,12.31,1597.57,604.6
0.82,347,16.525,1630.74,637
0.77,333,17.56,1685.73,642.3
0.77,320,16.885,1681.55,659
0.76,346,15.2,1756.54,609
0.74,335,15.61,1848.36,577.7
0.91,333,16.66,1782.59,605.2
0.9,320,16.565,1859.45,539.6
0.9,331,15.06,1872.34,511.9
1,343,13.335,1883.95,500.4
1.01,310,13.07,1960.23,519.4
1.01,302,14.91,1930.67,595.1
1,292,14.51,1972.29,667.8
0.97,280,14.21,2018.05,687.2
1.02,288,13.56,2058.9,812
1.26,268,16.075,2067.89,810.7
1.4,269,15.875,2085.51,769.7
1.35,278,15.32,2063.11,816.1
1.35,271,17.86,2103.84,879.4
1.33,279,18.9,1972.18,964.1
1.33,276,18.5,1920.03,1055.6
1.62,279,37.27,2043.94,1327.6
2.03,227,29.4,2363.64,668.8
2.03,235,35.956,2362.72,691.8
2.17,255,30,2411.8,661.8
2.15,250,25.917,2423.41,679.9
2.15,241,16.056,2470.3,649.1
2.12,236,15.778,2471.65,698.7
2.08,229,23.122,2575.26,636.8
2.08,238,32.738,2647.58,618
2.09,230,33.777,2823.81,579.9
2.07,217,59.719,2713.83,594.6
2.08,242,80.17,2640.87,643.5
2.04,211,67.294,2648.05,634.3
2.06,221,62.125,2705.27,639.9
2.05,231,51.575,2718.37,598.3
2.01,218,43.856,2816.29,553.6
1.99,203,41.075,2901.52,610.7
1.92,207,44.838,2913.98,583.7
1.91,214,36.85,2711.74,693
1.93,234,53.61,2760.17,809.2
